player_name,elo,hard_elo,clay_elo,grass_elo,rank,rank_points,age,ht,is_left,matches_played,win_last_5,win_last_25,win_last_50,win_last_100,elo_grad_20,elo_grad_35,elo_grad_50,elo_grad_100,ace_avg_last_5,ace_avg_last_20,ace_avg_last_50,df_avg_last_5,df_avg_last_20,df_avg_last_50,1st_win_pct_avg_last_5,1st_win_pct_avg_last_20,1st_win_pct_avg_last_50,bp_save_pct_avg_last_5,bp_save_pct_avg_last_20,bp_save_pct_avg_last_50
Stephane Robert,1593.0555203458025,1489.58727465394,1497.1554511456743,1427.5146206455033,661.0,30.0,44.6,185.0,0,112,0.2,0.2,0.34,0.31,-98.95024798437817,-66.50192209728402,28.6986994947938,-38.7962601673546,6.8,3.85,4.56,6.4,5.6,4.88,0.7273157773157773,0.6699597563084086,0.6952283408382277,0.47928571428571426,0.4882594448035625,0.5078755248019954
Nick Chappell,1375.4300488252443,1375.4300488252443,1375.4300488252443,1375.4300488252443,432.0,101.0,32.4,178.0,1,1,0.0,0.0,0.0,0.0,-24.569951174755715,-24.569951174755715,-24.569951174755715,-24.569951174755715,1.0,1.0,1.0,1.0,1.0,1.0,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.0,0.0,0.0
Strong Kirchheimer,1390.2596085856119,1390.2596085856119,1390.2596085856119,1390.2596085856119,511.0,77.0,30.3,185.0,0,1,0.0,0.0,0.0,0.0,-9.740391414388114,-9.740391414388114,-9.740391414388114,-9.740391414388114,4.0,4.0,4.0,2.0,2.0,2.0,0.5,0.5,0.5,0.6,0.6,0.6
Christophe Tholl,1351.2679381709527,1367.1281697020202,1400.0,1351.2679381709527,2000.0,0.0,30.1,185.67156964873536,0,2,0.0,0.0,0.0,0.0,-48.732061829047325,-48.732061829047325,-48.732061829047325,-48.732061829047325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennys Sandgren,1558.8863858641412,1549.9995314125786,1369.5954111673059,1534.014610810219,281.0,200.0,33.5,188.0,0,122,0.2,0.28,0.32,0.38,-59.70224959899451,-167.4228725440289,-128.57008060345765,-78.9910375946206,5.2,6.7,9.06,3.8,2.95,2.92,0.7068626925441845,0.6790483106529794,0.7078988412485117,0.5683333333333334,0.48907828282828286,0.5659093684093683
Jimmy Wang,1708.328151761729,1574.810072683276,1427.4083171578761,1519.6406832361101,274.0,167.0,40.5,178.0,0,88,0.4,0.36,0.42,0.45454545454545453,-27.901658801624308,-58.690529455242995,-30.27209112544415,308.32815176172903,3.8,4.1,2.98,2.8,2.6,1.8,0.6930495336289894,0.6170206655725486,0.5314614138502725,0.49480519480519475,0.48042792733582207,0.462827459090617
Leonardo Tavares,1449.8539846498063,1379.3750263346253,1450.190581499358,1449.8539846498063,311.0,141.0,41.3,185.0,0,16,0.4,0.375,0.375,0.375,49.85398464980631,49.85398464980631,49.85398464980631,49.85398464980631,0.2,-0.375,-0.375,0.4,-0.1875,-0.1875,0.2658947368421053,0.12165593505039193,0.12165593505039193,0.3466666666666667,0.14479166666666668,0.14479166666666668
Harri Heliovaara,1390.4810608113921,1439.5913932044007,1381.7112890429785,1390.4810608113921,605.0,37.0,35.7,188.0,0,23,0.4,0.34782608695652173,0.34782608695652173,0.34782608695652173,33.974148959879585,-9.518939188607874,-9.518939188607874,-9.518939188607874,5.0,2.55,2.0869565217391304,2.0,1.05,0.782608695652174,0.6121927065972976,0.3652948107295969,0.3176476615039973,0.6,0.32881944444444444,0.28592995169082125
Daniel Alejandro Lopez Cassaccia,1373.0175838269247,1452.9557288219173,1362.7012441386764,1373.0175838269247,702.0,24.0,35.5,185.67156964873536,0,9,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,-26.982416173075308,-26.982416173075308,-26.982416173075308,-26.982416173075308,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandre Bakshi,1379.664066548613,1403.5014477534835,1379.664066548613,1379.664066548613,512.0,75.0,28.1,180.0,1,1,0.0,0.0,0.0,0.0,-20.335933451387064,-20.335933451387064,-20.335933451387064,-20.335933451387064,0.0,0.0,0.0,6.0,6.0,6.0,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.5,0.5,0.5
Clemens Trimmel,1683.9987969839185,1683.9987969839185,1689.2659121587963,1683.9987969839185,148.0,267.0,46.8,185.0,0,52,0.0,0.0,0.0,0.0,-16.608610349243918,-16.608610349243918,-16.608610349243918,-16.608610349243918,3.0,3.0,3.0,3.5,3.5,3.5,0.7078817733990148,0.7078817733990148,0.7078817733990148,0.55,0.55,0.55
Jamal Darmadi,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,44.5,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Isaza,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,38.4,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
